,Model,Power,GVW,Payload,Fueltank,Engine,WheelBase,Image & Other Details
0,Tata Yodha 1700 BS6,100 bhp ,GVW 3490,1700,45,2200,3150,https://trucks.cardekho.com/en/trucks/tata/yodha-1700-bs6
1,Tata ACE,16 bhp ,GVW 1550,605,30,702,2100,https://trucks.cardekho.com/en/trucks/tata/ace
2,Ashok Leyland Dost+,60 bhp ,GVW 2750,1475,40,1478,2510,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost
3,Mahindra Jeeto,11  bhp  ,GVW 1291,600,10.5,625,2250,https://trucks.cardekho.com/en/trucks/mahindra/jeeto
4,Piaggio Ape,8.04 bhp ,GVW 975,560,10.5,435,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape
5,Mahindra Bolero Maxitruck Plus BS6,65 bhp,GVW 2700,1200,45,2523,3150,https://trucks.cardekho.com/en/trucks/mahindra/bolero-maxi-truck-plus
6,Eicher Pro 1110,135 bhp ,GVW 11990,,190,3298,3800,https://trucks.cardekho.com/en/trucks/eicher/pro-1110
7,Tata LPK 2518,180 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lpk-2518
8,Maruti Suzuki Super Carry,32 bhp ,GVW 1600,740,30,793,2110,https://trucks.cardekho.com/en/trucks/maruti-suzuki/super-carry
9,Tata Intra V20,70 bhp ,GVW 2300,1100,35,1396,2250,https://trucks.cardekho.com/en/trucks/tata/intra-v20
10,Mahindra Bolero Pikup ExtraStrong BS6,75 bhp ,GVW 2995/3245,1280/1500,57,2523,3264,https://trucks.cardekho.com/en/trucks/mahindra/bolero-pikup
11,Tata Ace gold,16 bhp ,GVW 1550,710,30,702,2100,https://trucks.cardekho.com/en/trucks/tata/ace-gold
12,Mahindra Bolero Camper BS6,75 bhp ,GVW 2735,1000,57,2523,3014,https://trucks.cardekho.com/en/trucks/mahindra/bolero-camper-gold
13,Mahindra Maxximo,19.2 bhp ,GVW 1815,965,33,909,1950,https://trucks.cardekho.com/en/trucks/mahindra/maxximo
14,Tata LPT 3718,175bhp ,GVW 37000,27405,400,5883,6225,https://trucks.cardekho.com/en/trucks/tata/lpt-3718
15,Mahindra Alfa Load,7 bhp ,GVW 995,505,10.5,436,2165,https://trucks.cardekho.com/en/trucks/mahindra/alfa-load
16,Bajaj Maxima C,8.88 bhp ,GVW 990,472,8,447,2125,https://trucks.cardekho.com/en/trucks/bajaj/maxima-c
17,Eicher Pro 1049,95 bhp ,GVW 4995,2679,60,3298,2750,https://trucks.cardekho.com/en/trucks/eicher/pro-1049
18,Ashok Leyland DOST STRONG,58 bhp ,GVW 2545,1250,40,1478,2350,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost-strong
19,Mahindra Supro Maxitruck,45  bhp  ,GVW 2090,1000,33,909,2050,https://trucks.cardekho.com/en/trucks/mahindra/supro-maxitruck
20,Mahindra Bolero Pikup 4x4 BS6,75 bhp ,GVW 2735,1015,57,2523,3014,https://trucks.cardekho.com/en/trucks/mahindra/big-bolero-pik-up
21,Tata LPT 2518,175bhp ,GVW 25000,19000,350,5883,4880,https://trucks.cardekho.com/en/trucks/tata/lpt-2518
22,Eicher Pro 2049,95 bhp ,GVW 4995,2697,60,--,2580,https://trucks.cardekho.com/en/trucks/eicher/pro-2049
23,Tata Yodha Pickup,85 bhp ,GVW 3100,1250,45,2956,3150,https://trucks.cardekho.com/en/trucks/tata/yodha
24,Tata Ace Gold BS6,30 bhp,GVW 1615,750,,,2100,https://trucks.cardekho.com/en/trucks/tata/ace-gold-bs6
25,Tata ACE XL,16 bhp ,GVW 1630,710,30,702,2250,https://trucks.cardekho.com/en/trucks/tata/ace-xl
26,Tata LPT 1109 HEX2,123.3bhp ,GVW 12990,8320,160,3783,3600,https://trucks.cardekho.com/en/trucks/tata/lpt-1109-hex2
27,Tata Xenon,85 bhp ,GVW 2950,1030,65,2956,3150,https://trucks.cardekho.com/en/trucks/tata/xenon
28,Ashok Leyland 3718,180 Bhp ,GVW 37000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/3718
29,Ashok Leyland DOST LiTE,58 bhp ,GVW 2545,1250,40,1478,2350,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost-lite
30,Mahindra Supro Minitruck,25  bhp  ,GVW 1870,750,45,909,1840,https://trucks.cardekho.com/en/trucks/mahindra/supro-minitruck
31,Tata 207 RX Common Rail,85bhp ,GVW 2950,1040,60,2956,3150,https://trucks.cardekho.com/en/trucks/tata/207-rx-common-rail
32,Tata Intra V30 BS6,70  bhp  ,GVW 2565,,,1500,2450,https://trucks.cardekho.com/en/trucks/tata/intra-v30-bs6
33,Ashok Leyland Ecomet 1214,130 bhp ,GVW 16100,9979,200,,,https://trucks.cardekho.com/en/trucks/ashok-leyland/ecomet-1214
34,BharatBenz 1617R BS6,167 bhp,GVW 16200,,214,3900,5100,https://trucks.cardekho.com/en/trucks/bharat-benz/1617r
35,Tata LPT 407 EX,82.6 bhp ,GVW 6250,3830,60,2956,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-407
36,Eicher Pro 1110XP,135 bhp ,GVW 12976,10056,190,3298,3800,https://trucks.cardekho.com/en/trucks/eicher/pro-1110-xp
37,Isuzu D-MAX,78 bhp ,GVW 2850,1200,55,2499,3095,https://trucks.cardekho.com/en/trucks/isuzu/d-max
38,Tata LPK 1618,177.1 bhp ,GVW 16200,,225,5883,3580,https://trucks.cardekho.com/en/trucks/tata/lpk-1618
39,Eicher Pro 3015,135 bhp ,GVW 16020,,190,--,4490,https://trucks.cardekho.com/en/trucks/eicher/pro-3015
40,Tata LPT 3118,175bhp ,GVW 31000,23700,365,5883,5205,https://trucks.cardekho.com/en/trucks/tata/lpt-3118
41,Tata Intra V10,40 bhp ,GVW 2110,1000,35,798,2250,https://trucks.cardekho.com/en/trucks/tata/intra-v10
42,Ashok Leyland 1618,180 Bhp ,GVW 16000,--,212,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/1618
43,Tata SFC 407 PICKUP EX,83.8bhp ,GVW 4450,2450,60,2956,2955,https://trucks.cardekho.com/en/trucks/tata/sfc-407-pickup-ex
44,Isuzu D-Max S-Cab,78 bhp ,GVW 2850,1150,55,2499,3095,https://trucks.cardekho.com/en/trucks/isuzu/d-max-s-cab
45,Eicher Pro 1059,95 bhp ,GVW 6450,,60,--,2750,https://trucks.cardekho.com/en/trucks/eicher/pro-1059
46,Tata SK 407 EX,83.8bhp ,GVW 6250,3975,60,2956,3100,https://trucks.cardekho.com/en/trucks/tata/sk-407-ex
47,Tata ACE ZIP,12 bhp ,GVW 1305,600,10,611,1650,https://trucks.cardekho.com/en/trucks/tata/ace-zip
48,Ashok Leyland PARTNER 6 TYRE,105 bhp ,GVW 7200,4590,90,2953,2850,https://trucks.cardekho.com/en/trucks/ashok-leyland/partner-6-tyre
49,Force SHAKTIMAN 200,67 bhp ,GVW 3475,1750,45,1947,2770,https://trucks.cardekho.com/en/trucks/force/shaktiman-200
50,Mahindra Imperio,74  bhp  ,GVW 2990,1240,55,2489,3220,https://trucks.cardekho.com/en/trucks/mahindra/imperio
51,Tata SFC 709 EX,83.8 bhp ,GVW 7490,4775,120,2956,3800,https://trucks.cardekho.com/en/trucks/tata/sfc-709-ex
52,Tata ACE ZIP XL,12.47 bhp ,GVW 1310,600,10,611,1650,https://trucks.cardekho.com/en/trucks/tata/ace-zip-xl
53,Tata Signa 4923.S,230 bhp ,GVW 49000,40720,400,5883,3880,https://trucks.cardekho.com/en/trucks/tata/signa-4923s
54,Tata LPK 3118,177.1 bhp ,GVW 31000,,300,5883,5580,https://trucks.cardekho.com/en/trucks/tata/lpk-3118
55,Force Kargo King,67 bhp ,GVW 2990,1250,60,1947,3000,https://trucks.cardekho.com/en/trucks/force/kargo-king
56,Eicher Pro 1080,110 HP ,GVW 8250,5460,100,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1080
57,Mahindra DI3200 JAYO,70 bhp ,GVW 4850,,,2500,--,https://trucks.cardekho.com/en/trucks/mahindra/di3200-jayo
58,Tata Signa 4018.S,180 BHP ,GVW 40200,34230,400,5883,3200,https://trucks.cardekho.com/en/trucks/tata/signa-4018s
59,Eicher Pro 1114XP,135 bhp ,GVW 16020,,190,--,3755,https://trucks.cardekho.com/en/trucks/eicher/pro-1114xp
60,Mahindra Bolero City Pikup BS6,65 bhp,GVW 2990,1400,45,2523,3264,https://trucks.cardekho.com/en/trucks/mahindra/bolero-city-pikup
