,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
0,No ,,Yes ,,,,,,,,Deck Body ,Hydraulic Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single plate dry friction type 260 mm dia ,TATA,,2200 cc,Yes ,,BS-VI ,TATA 2.2L DI engine ,4,,,,,,,Semi elliptical leaf springs - 6 leaves ,215/75 R 16 ,45 Ltr,Diesel ,3490,5-Speed ,35,210,,,1790,,2650 (8.7 ft) ,,100 bhp  ,,250 Nm @ 1000-2500 rpm ,,YODHA-1700-BS6,,,,4,5350,5350,1860,Yes ,1700 Kgs,Yes ,,,,Innovative Two stage Semi elliptical leaf springs -9 leaves ,215/75 R 16 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,Yes ,Manual ,,3125,,,3150 mm,1850 (6 ft) 
1,No ,No ,Yes ,,No ,4x2 ,,,,,Half Deck Body ,"Front-Disc, Rear-Drum, Duel Circuit Hydraulic ",,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction diaphragm ,TATA,No ,702 cc,Yes ,,BS-IV ,275 IDI Diesel ,2,,,,,No ,Rigid Axle ,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,30 Ltr,,1550,4-Speed ,21,160,300(0.98) ,No ,840,,2140(7.02) ,,16 bhp  ,60,38 Nm  ,21.9,ACE,No ,,,,1845,3800,1500,Cable operated mechanical linkages acting on rear wheels ,710 Kgs,No ,,Live axle ,,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,,Yes ,Standard ,D+1 ,,,"Mechanical, Variable Ratio (23.1 to 28.9), 380mm dia. ",YES ,,No ,No ,Manual ,Yes ,4300,,,2100 mm,1430(4.69) 
2,No ,No ,Yes ,,No ,. ,,,,,Deck Body ,Disc-Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,240 mm diameter Diaphragm Single Dry plate ,ASHOK-LEYLAND,No ,1478 cc,Yes ,,BS-IV ,1.5 L TDCR Engine Turbo Charged Diesel Common Rail (TDCR) engine ,,,,,,Yes ,,Rigid Suspension with Parabolic Leaf Spring with Double Acting Shock Absorber - 3 Nos ,195 R15 LT8 PR ,40 Ltr,,2750,5-Speed ,,,380(1.2) ,No ,1275,,2645(8.7) ,,60 bhp  ,,170 Nm  ,,DOST,No ,,,4,1900,4630,. ,Yes ,1475 Kgs,No ,,,,Semi Elliptical Leaf Spring Suspension with Double Acting Shock Absorber - 6 Nos ,195 R15 LT8 PR ,,Yes ,Standard ,D+1 ,,,,No ,,No ,Yes ,Manual ,Yes ,,,,2510 mm,1620(5.3) 
3,No ,No ,No ,,No ,,,,,,Deck Body ,Drum Brakes ,,,,,,,Day Cabin ,,,Chasis with Cabin ,,MAHINDRA,No ,625 cc,Yes ,,BS-IV ,"Single cylinder, DI Water Cooled ",1,,,,,No ,,IFS ,R12 ,10.5 Ltr,,1445,4-Speed ,,,300 (1Ft) ,No ,,,2257(7.4 ft) ,,16  bhp   ,,38 Nm  ,,JEETO,No ,,,4,1750,3876,1498,No ,715 Kgs,No ,,,,Semi-trailing arm ,R12 ,,Yes ,Standard ,D+1 ,,,Manual ,No ,,No ,No ,Manual ,No ,,,,2500 mm,1493(4.9 ft) 
4,No ,No ,No ,35,No ,. ,,12,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Multi Disc Wet Type ,PIAGGIO,No ,435 cc,No ,,BS-IV ,"Single cylinder,Naturally Aspired Air Cooled ",1,,,,,No ,Rigid Axle ,Helical spring with hydarullic telescopic shock absorber ,"4.50-10,8PR ",10.5 Ltr,,975,4-Speed ,25.21,165,NA ,No ,415,,1480(4.85) ,,8.04 bhp  ,,21 Nm  ,,APE,No ,,,,1635,2930,1490,Yes ,560 Kgs,No ,,Rigid Axle ,,Rubber Compression with hydarullic telescopic shock absorber ,"4.50-10,8PR ",,No ,Standard ,D+1 ,,,Mechanical Steering ,No ,,No ,No ,Manual ,No ,,,,1920 mm,1400(4.59) 
5,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Rigid Leaf spring suspension ,195/80 R15 LT ,45 Ltr,Diesel ,2700,5-Speed ,,,458,,1500,,2500,,65 bhp ,,195 Nm  ,,BOLERO-MAXI-TRUCK-PLUS,No ,,,4,1825,4925,1700,Yes ,1200 Kgs,Yes ,,,,Rigid Leaf spring suspension ,195/80 R15 LT ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3150 mm,1620
6,No ,No ,Yes ,,No ,4x2 ,No ,,. ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,330 mm dia. ,EICHER,No ,3298 cc,Yes ,No ,BS-IV ,E494 4 Cyl 4V CRS engine with Volvo Group EMS 3.0 ,4,,No ,No ,No ,Yes ,. ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,190 Ltr,,11990,6-Speed ,26,220,No ,No ,,No ,5805(19) ,,135 bhp  ,,450 Nm  ,,PRO-1110,No ,No ,No ,,,,,Yes ,,No ,No ,. ,No ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Manual Steering ,No ,No ,Yes ,Yes ,Manual ,No ,,No ,No ,4300 mm,2125(7) 
7,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,Single Plate Dry Friction 382 ,TATA,No ,5883 cc,No ,24V ,BS-IV ,CUMMINS IS Be5.9 180 40 ,6,,No ,No ,No ,No ,"Extra Heavy Duty Forges I Beam, Reverse Elliot Type ",Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,300 Ltr,,25000,9-Speed ,28,235,,No ,,No ,,,180 bhp  ,,700 Nm  ,,LPK-2518,No ,No ,No ,,,7103,,Yes ,,Yes ,No ,RA 109SRT Extra heavy duty hypoid gears fully floating axle shafts ,No ,,10.00 x 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,Yes ,Manual ,,8500,No ,No ,3880 mm,
8,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate dry friction ,MARUTI-SUZUKI,No ,1196 cc,Yes ,,BS-VI ,Multi Point Fuel Injection G12B ,4,,,,,,,Macpherson strut with coil spring ,155R13 LT 8PR ,30 Ltr,Petrol ,1600,5-Speed ,21,,300,,860,,2183,,72 bhp  ,80,98 Nm  ,,SUPER-CARRY,No ,,,4,1883,3800,1562,Yes ,740 Kgs,Yes ,,,,Leaf spring rigid axle ,155R13 LT 8PR ,,Yes ,Standard ,D+1 ,,,Manual - Rack and Pinion Gear ,,,,No ,Manual ,No ,2150,,,2110 mm,1488
9,Optional ,No ,Yes ,,No ,. ,,,,,Cabin load body ,"Front - Disc,  Rear - Drum ",,,,,,,Day Cabin ,,,Hydroform ,Single Plate Dry Friction Diaphragm Type ,TATA,No ,1396 cc,Yes ,,BS-IV ,DI engine ,4,,,,,No ,- ,Semi - elliptical leaf spring (6 leafs) ,165 R14 LT ,35 Ltr,,2300,5-Speed ,45,,,No ,1200,,2512 (8.24 ft) ,,70 bhp  ,80,140 Nm  ,,INTRA-V20,No ,,,4,,4282,1639,Yes ,1100 Kgs,Yes ,,- ,,Semi - elliptical leaf spring (7 leafs) ,165 R14 LT ,,Yes ,Standard ,D+1 ,,,Power Steering (standard fitment) ,No ,,No ,No ,Manual ,Yes ,4750,,,2250 mm,1603
